ResponsibleDepartment,Reason,Notes
Billing,Billing Error,OTC WAS COMP'D OUT.  MERCY CARE AHCCCS AS SECONDARY PAYS.
Billing,Billing Error,RX WAS BILLED AS COMP. MERCY CARE AHCCCS AS SECONDARY PAYS.
Billing,Billing Error,RX WAS BILLED AS COMP.  MERCY CARE AHCCCS AS SECONDARY PAYS.
Data Entry,Billing Error,BT GETS P5 PRICING FOR OTC's.  (NOT EXTENDED CARE)
Pharmacist,Billing Error,"LF 02/04 SHOULD OF BEEN PROFILED "
Data Entry,Billing Error,"LF 02/04 SHOULD OF BEEN PROFILED "
Pharmacist,Billing Error,"LF 02/07 SHOULD OF PROFILED "
Data Entry,Billing Error,"LF 02/07 SHOULD OF BEEN PROFILED "
Data Entry,Billing Error,"FILLED TWICE IN ONE DAY
"
Data Entry,DC'd,"FILLED OUT THE DISCHARGE FORM, COMPLETED IT BUT DID NOT DC THE PT, CF WENT OUT."
Data Entry,Billing Error,"NOTE ON DOC SAYS TO PROFILE UNTIL REQUESTED, BUT MED WAS FILLED AND REJECTED FOR TOO SOON"
Data Entry,Billing Error,"NOTE ON DOC SAYS TO PROFILE UNTIL REQUESTED, BUT MED WAS FILLED AND REJECTED FOR TOO SOON"
Data Entry,Billing Error,"NOTE ON DOC SAYS TO PROFILE UNTIL REQUESTED, BUT MED WAS FILLED AND REJECTED FOR TOO SOON"
Data Entry,Billing Error,"NOTE ON DOC SAYS TO PROFILE UNTIL REQUESTED, BUT MED WAS FILLED AND REJECTED FOR TOO SOON"
Data Entry,STAT,A STAT WAS PLACED INTO NEW ADMIT  QUEUE WHEN PT IS IN THE SYSTEM ALREADY AND THE DOCUMENT IS A P.A. FORM SHOULD HAVE JUST BEEN PROCESSED THROUGH DE
Billing,Refills missed/wrong,KVB ARE THE INITIALS
Billing,Document Error,BILLING AGREEMENT WITH FINANCIAL INFO NOT UNSTAPLED FROM ADMIT PAPERWORK AND AUTOPAY NOT NOTED OR SELECTED ON PT PROFILE. THIS IS NOW SEPARATED APPROPRIATELY.
Billing,Document Error,BILLING AGREEMENT WITH FINANCIAL INFO NOT UNSTAPLED FROM ADMIT PAPERWORK AND AUTOPAY NOT NOTED OR SELECTED ON PT PROFILE. THIS IS NOW SEPARATED APPROPRIATELY.
Data Entry,Billing Error,"WE FILLED THIS MED YESTERDAY, NEW RX SHOULD HAVE BEEN PROFILED BUT WAS FILLED"
Data Entry,Billing Error,"WE FILLED THIS MED YESTERDAY, NEW RX SHOULD HAVE BEEN PROFILED BUT WAS FILLED"
Data Entry,HOA/FREQUENCY/FILL LIST,"""1"" IN THE FL ON A SVN SOLUTION"
Fulfillment DLY,Packaging,VIAL HOME IN PC
Data Entry,Wrong Batch,YT NOT BATCHED YT--ONLY BATCHED 145 AND TUNGLAND DOESN'T GO WEEKENDS
Fulfillment DLY,Procedure (FF),YT NEEDS TO HAVE YT AND YELLOW BAG
Fulfillment DLY,Packaging,OPUS HOMES GO IN SM PC
Data Entry,Wrong Batch,TUNGLAND WONT GO WEEKEND WITHOUT A YT
Data Entry,Wrong Batch,ZONES DONT GO 645 UNLESS YT
Data Entry,Wrong Batch,ZONES DONT GO 645 WITHOUT A YT
Data Entry,Wrong Batch,ZONES DONT GO 645 WITHOUT A YT BATCH
Data Entry,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT BATCH
Fulfillment DLY,Packaging,SHOULD BE 1&1/2 TABS
Fulfillment DLY,Packaging,PRN SHOULD ALL BE IN 1 CARD
Data Entry,Wrong Batch,TUNGLAND DOES NOT GO WEEKENDS WITHOUT A YT BATCH
Fulfillment DLY,Packaging,CRISIS IN A PC
Data Entry Misc,Procedure,DIDN'T COMPLETELY FILL OUT IV FLOWSHEET
Data Entry Misc,Procedure,DID NOT CHANGE THE TICKLER DATE ON IV FLOWSHEET
Fulfillment DLY,Packaging,RTP IN PC
Data Entry Misc,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT BATCH
Data Entry Misc,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT BATCH
Fulfillment DLY,Packaging,PC HOME IN VIAL
Fulfillment SYNMED,Packaging,CARD NOT SEAL PROPERLY
Fulfillment SYNMED,Packaging,CARD NOT SEAL PROPERLY
Fulfillment SYNMED,Packaging,CARD NOT SEAL PROPERLY
Fulfillment SYNMED,Packaging,CARD NOT SEAL PROPERLY
Fulfillment SYNMED,Packaging,CARD NOT SEAL PROPERLY
Fulfillment SYNMED,Packaging,CARD NOT SEAL PROPERLY
Fulfillment SYNMED,Packaging,CARD NOT SEAL PROPERLY
Fulfillment SYNMED,Procedure (FF),RE-PACKAGED LABEL NOT SIGNED
Fulfillment SYNMED,Procedure (FF),RE-PACKAGED LABEL NOT SIGNED
Fulfillment SYNMED,Procedure (FF),RE-PACKAGED LABEL NOT SIGNED
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Extra/Missing Pill(s),JUMPER
Fulfillment SYNMED,Patient (FF),MIXED PTS
Fulfillment SYNMED,Patient (FF),MIXED PTS
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,DUPE FILL
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - TX VOIDED
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - TX VOIDED
Data Entry,Billing Error,"RX WAS BILLED AS EXTENDED CARE PRICING.  CYANOCOBALAMIN 1,000 MCG/ML IS AN RX.  RX'S GET SALIBA'S DISCOUNT PRICING."
Data Entry Phone Team,Refills missed/wrong,SNF CAN REFILL CONTROLS. MMF NOT NECESSARY. MED MISSED RUN
Billing,Billing Error,"OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  SSB TRIED BILLING MERCY CARE, BUT IT REJECTED FOR ""SUBMIT BILL TO OTHER PROCESSOR OR PRIMARY PAYER."" WHEN THIS HAPPENS, WE NEED TO LOOK AT THE MERCY CARE PROFILE BY CLICKING ON THE ""INSURANCE INFORMATION"" ICON. THE ""OTHER ID"" FIELD NEEDS TO HAVE MS. VIGIL'S PRIMARY INSURANCE ID # IN THIS FIELD. (H70773155). AND IN THE ""OTHER PAYER ID QUALIFIER"" FIELD IS ""99 - OTHER"". AND THE ""OTHER COVERAGE"" FIELD MUST HAVE 03 - OTHER COVERAGE BILLED.  THIS IS HOW I GOT MERCY CARE TO PAY AS SECONDARY. I HAD TO MAKE THESE ADJUSTMENTS FOR IT TO WORK."
Billing,Billing Error,"OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  SSB TIRED BILLING MERCY CARE AS SECONDARY, BUT RECEIVED A ""SUBMIT BILL TO OTHER PROCESSOR OR PRIMARY PAYOR"" REJECTION.  TO GET THIS TO PAY, WE NEED TO MAKE SOME ADJUSTMENTS INSIDE MERCY CARE'S INSURANCE PROFILE. THE PT.'S PRIMARY ID # NEEDS TO BE IN MERCY CARE'S ""OTHER ID"" FIELD. A ""99 - OTHER"" NEEDS TO BE IN THE ""OTHER PAYOR ID QUALIFIER"" FILED.  AND THE ""OTHER COVERAGE FIELD"" MUST HAVE ""03-OTHER COVERAGE BILLED""."
Billing,Billing Error,RX WAS CASHED OUT FOR EXTENDED CARE PRICING. ACSS GETS P5 PRICING ON OTC'S.
Data Entry,Billing Error,"LF 02/16. "
Data Entry,Billing Error,LF 02/14
Data Entry,Charge Account,"THE FRIENDSHIP SNF PRICE PLAN WAS BILLED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S.  IF WE ARE BILLING THE FRIENDSHIP PRICE PLAN, THEN WE NEED TO MAKE SURE THAT WE ARE CHOOSING THE *FRIENDSHIP*PC* (FVHC) VILLAGE CHARGE ACCOUNT.  THAT WAY THE FACILITY GETS BILLED, AND NOT THE PATIENT."
Data Entry,Charge Account,"THE FRIENDSHIP SNF PRICE PLAN WAS BILLED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S.  IF WE ARE BILLING THE FRIENDSHIP PRICE PLAN, THEN WE NEED TO MAKE SURE THAT WE ARE CHOOSING THE *FRIENDSHIP*PC* (FVHC) VILLAGE CHARGE ACCOUNT.  THAT WAY THE FACILITY GETS BILLED, AND NOT THE PATIENT."
Data Entry,Triage,CLIV/PRM IS NOT TO BE MARKED DIRTY PER PROTOCOL
Billing,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  CARE 1ST AZ PAYS FOR.
Data Entry,SIG/MULTI-SIG/DIRECTIONS,NO SPECIAL CHARACTERS IN SIGS
Pharmacist,Billing Error,"CLAIM WAS REV/VOIDED BUT MED WAS DELIVERED "
Pharmacist,Document Error,WRONG DOC TYPE
Pharmacist,Document Error,WRONG DOC TYPE
Pharmacist,Document Error,WRONG DOC TYPE
Data Entry,ICD,"
"
Data Entry Misc,Billing Error,OTC WAS BILLED AS EXTENDED CARE. ZNM1 FOR OTC'S GETS BROOKDALE CASH PRICING.
Billing,Matrix Error,"THE BILLING MATRIX FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY. IT APPEARS THAT IT WAS CORRECTED, THEN SOMEONE PUT IN AN EXPIRATION DATE ON THE CORRECTION, AND SET IT BACK TO THE INCORRECT WAY.  WE NEED TO LET EVERYONE KNOW WHO SETS UP BILLING MATRIX'S ON HOW TO PROPERLY SET UP A UHC PLAN AHCCCS AS SECONDARY INSURANCE PLAN."
Data Entry,Billing Error,LF 02/12
Data Entry,Invalid payor / code (TEST),"AFTER BILLING A 1 DAYS SUPPLY TO THE ""MISSING MED"" PRICE PLAN, ""MISSING MED"" WAS LEFT IN THE PRIMARY INSURANCE FIELD."
Billing,Matrix Error,"UHC PLAN AHCCCS AS SECONDARY WAS NOT SET UP CORRECTLY IN THE INSURANCE PROFILE, AND IN THE BILLING MATRIX SCREENS."
Billing,Billing Error,THE SAFETY LANCETS DO NOT RECEIVE ABN PRICING.
Data Entry,SIG/MULTI-SIG/DIRECTIONS,DISSOLVE
Data Entry,Date Written,EXP DATE
Data Entry,SIG/MULTI-SIG/DIRECTIONS,TYPO
Data Entry,HOA/FREQUENCY/FILL LIST,NOT SELF ADMIN
Data Entry,HOA/FREQUENCY/FILL LIST,QTY PER DOSE
Billing,Billing Error,FVVN HOUSE STOCK SHOULD BE UNDER FA PRICE PLAN
Data Entry,SIG/MULTI-SIG/DIRECTIONS,TYPO
Data Entry,EMAR,NO ANCILLARIES
Data Entry,Billing Error,FILLED TWICE IN SAME DAY
Data Entry,Billing Error,VP GETS P5 PRICING FOR OTC'S.  THIS OTC WAS BILLED AS EXTENDED CARE PRICING.
Data Entry,Billing Error,VP GETS P5 PRICING ON OTC'S. (NOT EXTENDED CARE PRICING).
Data Entry,Billing Error,BT GETS P5 PRICING ON OTC'S.  (NOT EXTENDED CARE PRICING).
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"PO, NOT SL"
Billing,Billing Error,"QS/1 HAS THE INITIALS AS CAF, BUT I DON'T SEE CAF IN THE DATABASE.  OTC WAS BILLED AS EXTENDED CARE PRICING.  BGAL GETS P5 PRICING FOR OTC'S."
Billing,Billing Error,SWHC GETS P5 PRICING FOR OTC'S. (OTC WAS BILLED AS EXTENDED CARE PRICING).
Billing,Billing Error,s7 GETS P5 PRICING FOR OTC'S.  (THIS WAS BILLED AS EXTENDED CARE PRICING).
Billing,Billing Error,THE BILLING MATRIX FOR UHC PLAN AHCCCS AS SECONDARY WAS NOT SET UP CORRECTLY.  IT IS TO BE SET UP IN THE SAME MANOR THAT WE WOULD UNIVERSITY FAMILY CARE.
Pharmacist,Billing Error,APLISOL GETS ACQUISITION + 25 FOR HOUSE STOCK
Data Entry,Billing Error,LF 02/14 SHOULD OF BEEN TICKLED
Data Entry,Billing Error,"LF 02/13; SHOULD OF PROFILED "
Data Entry,Billing Error,"LF 02/13; SHOULD OF PROFILED "
Data Entry,Billing Error,NO AMOUNT TO CHARGE CARD ON THE PAYMENT FORM
Data Entry,Billing Error,NO AMOUNT TO CHARGE CARD ON THE PAYMENT FORM
Data Entry,Triage,"ADMIT DOC STATES TO SEND STAT, TECH MARKED AS 945 "
Billing,Matrix Error,THE BILLING MATRIX FOR UHC PLAN AHCCCS AS SECONDARY WAS NOT SET UP CORRECTLY.  UHC SHOULD BE SET UP LIKE WE WOULD UFC.
Data Entry Misc,Procedure,OTC WAS PLACED ON CYCLE FILL FOR AN AHCCCS PATIENT
Data Entry,Procedure,OTC WAS PLACED ON CYCLE FILL FOR AN AHCCCS PATIENT
Billing,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  MERCY CARE PAYS. IT WAS JUST REFILL TOO SOON DUE TO THE TYLENOL LIMIT.
Pharmacist,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  MERCY CARE PAYS.
Data Entry,Invalid payor / code (TEST),"AFTER BILLING A 1 DAY SUPPLY TO THE MISSING MED PRICE PLAN, MISSING MED WAS LEFT IN THE PRIMARY INS FIELD."
Data Entry,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  HIS AHCCCS PLAN WASN'T EVEN ATTEMPTED PRIOR TO BILLING THE EXTENDED CARE PRICING.
Data Entry,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  MERCY CARE PAYS FOR THIS AS SECONDARY.  HIS SECONDARY WAS NOT ATTEMPTED PRIOR TO BILLING AS EXTENDED CARE.
Billing,Matrix Error,"INDIAN SERVICES WAS ON THE F4 LINE, AND IT SHOULD BE TRIBAL RBHA."
Pharmacist,Other,HOLE IN BUBBLE
Billing,Billing Error,COMPED MED ON CF THAT IS NO LONGER COVERED WITHOUT RFCF OR STARTING PA PROCESS
Data Entry,Billing Error,NO EXPIRATION DATE ON PER DIEM TABLE
Data Entry,Billing Error,"ORDER ALREADY TYPED EARLIER IN THE DAY, THIS IS A DUP SHOULD HAVE BEEN P.O OR NOT RETYPED AT ALL"
Data Entry,Triage,DOESN'T APPEAR THIS DOC WAS EVEN LOOKED AT BY TRIAGE
Data Entry,Triage,DOESN'T APPEAR THIS DOC WAS EVEN LOOKED AT BY TRIAGE
Data Entry,Triage,DOESN'T APPEAR THIS DOC WAS EVEN LOOKED AT BY TRIAGE
Data Entry,Triage,DOESN'T APPEAR THIS DOC WAS EVEN LOOKED AT BY TRIAGE
Data Entry,Triage,DOESN'T APPEAR THIS DOC WAS EVEN LOOKED AT BY TRIAGE
Data Entry,Quantity,"
"
Data Entry,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  MERCY CARE PAYS.  THERE WAS A NOTE IN QS/1 AS WELL.
Data Entry,Billing Error,LF 02/13 FOR 30 DAYS
Billing,Billing Error,THE DDD FACILITY PRICE PLAN WAS BILLED FOR AN ATP* PATIENT.  I REBILLED AS ATP* FACILITY.
Data Entry,Document Not Associated,MARKED ADMIT BUT WAS NOT
Billing,Billing Error,BT GETS P5 PRICING FOR OTC'S.  CLAIM WAS BILLED AS EXTENDED CARE PRICING.
Data Entry,HOA/FREQUENCY/FILL LIST,"HOA NOT DEFINED TO HOME (WRONG TIME) "
Data Entry,Other,VIAL INSTEAD OF PEN
Data Entry,Document Error,"DOC MOVED TO BILLING NEW ADMITS WHEN PT IS ALREADY IN THE SYSTEM "
Billing,Billing Error,"FORM IS MISSING PHONE NUMBER AND BILLING ADDRESS. ALSO, 1X PMT IS ONLY OPTION SELECTED AND UPDATE AUTO CC IS NOT. PREVIOUS CARD HAS BEEN DECLINING, BUT CANNOT BE UPDATED UNLESS WE KNOW THIS INFO. "
Billing,Billing Error,"FORM IS MISSING PHONE NUMBER AND BILLING ADDRESS. ALSO, 1X PMT IS ONLY OPTION SELECTED AND UPDATE AUTO CC IS NOT. PREVIOUS CARD HAS BEEN DECLINING, BUT CANNOT BE UPDATED UNLESS WE KNOW THIS INFO. "
Billing,Matrix Error,THE BILLING MATRIX WAS NOT SET UP CORRECTLY. HAD MED D / PRIVATE.  PT. HAS ACTIVE AHCCCS COVERAGE.
Data Entry CF Auth,Procedure,"OTC WAS PLACED ON CYCLE FILL FOR AN AHCCCS PATIENT.  "
Data Entry,Triage,HOA
Data Entry,Triage - Doc Type,HOA
Data Entry,Triage,HOA
Fulfillment CF,Other,"WRONG CASSETTE "
Data Entry,HOA/FREQUENCY/FILL LIST,"NEED ""W/B""HOA'S  FOR NARC RX'S "
Fulfillment DLY,Label Not Scanned,IV
Fulfillment DLY,Label Not Scanned,IV
Data Entry,Billing Error,DOC COMPLETED WITH REJECTIONS. MEDS MISSED RUN
Data Entry,Triage,"HOA
"
Data Entry,Billing Error,DOC SENT TO FILL WITH REJECTIONS
Data Entry,Procedure,DOCUMENT NOT SENT TO ER. MED REJECTED AND FAC NOT NOTIFIED
Fulfillment DLY,Packaging,SHOULD BE 3 PER BUBBLE
Fulfillment DLY,Label Issue,MISSED SPLIT SIG
Fulfillment DLY,Quantity,2X AS MUCH
Fulfillment DLY,Quantity,2 X AS MUCH (XTRA CARD CONTROL)
Data Entry,Wrong Batch,GARNET DOESN'T GO 145 SUN.
Fulfillment DLY,Packaging,2/BUBBLE
Fulfillment DLY,Extra/Missing Pill(s),EXTRA PILL IN 1 BUBBLE
Fulfillment DLY,Extra/Missing Pill(s),1 CRUSHED TAB
Data Entry,Wrong Batch,NO WEEKENDS FOR SW12 UNLESS YT.
Data Entry Misc,Procedure,NO PHONE CALL ON A LATE FILL.  LABELS CAME OUT AFTER Q WAS PRINTED AND NOT NOTICED.
Data Entry,Wrong Batch,TUNLAND DOES NOT GO WEEKENDS WITHOUT A YT BATCH
Data Entry,Wrong Batch,TUNGLAND DOES NOT GO WEEKENDS WITHOUT A YT BATCH
Fulfillment DLY,Packaging,TAPER
Fulfillment CF,Extra/Missing Pill(s),DUPE FILL
Fulfillment CF,Extra/Missing Pill(s),DUPE FILL
Fulfillment CF,Label Issue,MISSING CASSETTE LABEL
Fulfillment CF,Label Issue,MISSING CASSETTE NUMBER
Fulfillment CF,Label Issue,NO DRUG DESCRIPTION
Fulfillment CF,Label Issue,NO DRUG DESCRIPTION
Fulfillment CF,Extra/Missing Pill(s),BROKEN TABS
Fulfillment SYNMED,Label Issue,JUMPER
Fulfillment SYNMED,Label Issue,JUMPER
Fulfillment SYNMED,Label Issue,JUMPER
Fulfillment SYNMED,Label Issue,UNSIGNED RE-PACKAGED LABELS
Fulfillment SYNMED,Label Issue,UNSIGNED RE-PACKAGED LABELS
Fulfillment SYNMED,Label Issue,UNSIGNED RE-PACKAGED LABELS
Data Entry,Wrong Batch,ZONES DON'T GO ON THE 645 WITHOUT A YT
Fulfillment DLY,Packaging,1 AM - 2PM ALL FILLED AS SINGLES
Fulfillment DLY,Drug/Strength (FF),ZOLPIDEM BARCODE - VENLAFAXINE FRONT LABEL FILLED WITH ZOLPIDEM
Fulfillment DLY,Label Issue,ZOLPIDEM BARCODE - VENLAFAXINE FRONT LABEL FILLED WITH ZOLPIDEM
Fulfillment DLY,Patient (FF),ZOLPIDEM BARCODE - VENLAFAXINE FRONT LABEL FILLED WITH ZOLPIDEM
Fulfillment DLY,Packaging,"AM AND PM DOSE SHOULD BE ""1"" AND ""2"" RESPECTIVELY"
Data Entry,Rx Origin,"
"
Data Entry Misc,Date Written,"
"
Billing,Matrix Error,THE BILLING MATRIX FOR UHC WAS NOT SET UP CORRECTLY
Data Entry,Billing Error,LF 02/23
Billing,Matrix Error,"THE SUNVIEW PRICE PLAN WAS BILLED, BUT THE CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S.  WE WANT TO MAKE SURE THAT THE CHARGE ACCOUNT GETS CHANGED AS WELL IF WE WISH TO BILL THE FACILITY'S ACCOUNT."
Billing,Matrix Error,THE BILLING MATRIX FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.  IT IS TO BE SET UP LIKE WE WOULD UNIVERSITY FAMILY CARE (AS SECONDARY).
Billing,Charge Account,"BELLA VITA'S PRICE PLAN WAS BILLED, BUT THAT CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S. WE NEED TO MAKE SURE THAT THE CHARGE ACCOUNT IS GETTING CHANGED AS WELL IF WE ARE BILLING THE FACILITY FOR MEDS."
Billing,Charge Account,"BELLA VITA'S PRICE PLAN WAS BILLED, BUT THAT CHARGE ACCOUNT WAS LEFT AS THE PATIENT'S. WE NEED TO MAKE SURE THAT THE CHARGE ACCOUNT IS GETTING CHANGED AS WELL IF WE ARE BILLING THE FACILITY FOR MEDS."
Data Entry,HOA/FREQUENCY/FILL LIST,USE 1D FOR ONCE MONTHLY MED
Data Entry,Billing Error,"LF 02/23
"
Data Entry,HOA/FREQUENCY/FILL LIST,"NO X IN SHORT TERM / DUP ON MAR "
Billing,Other,CF- EXTRA TAB
Billing,Other,"CF STRENGTH "
Data Entry,Document Error,2 PTS STAPLED TOGETHER
Data Entry,Wrong Batch,HECA DOESNT GET 945P
Data Entry,Wrong Batch,HC07 DOESNT GET 945P
Data Entry,Drug,"
"
Billing,Billing Error,PWY7 DOESN'T GET P5 PRICING
Data Entry,HOA/FREQUENCY/FILL LIST,SHORT TERM ORDER FOR EMAR WITH X IN FREQUENCY.
Data Entry,Billing Error,"CF WAS NOT BILLED, THIS IS RX WAS A SIG CHG BUT OLD CLAIM WAS NEVER BILLED, NOT F/U DOC TO BILL CF"
Data Entry,Billing Error,"CF WAS NOT BILLED, THIS IS RX WAS A SIG CHG BUT OLD CLAIM WAS NEVER BILLED, NOT F/U DOC TO BILL CF"
Data Entry,Billing Error,"CF WAS NOT BILLED, NO F/U DOC TO BILL CF"
Billing,Billing Error,"CF WAS NOT BILLED, NO F/U DOC TO BILL CF"
Data Entry,Billing Error,"CF WAS NOT BILLED, NO F/U DOC TO BILL CF"
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF "
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF "
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF "
Data Entry,Billing Error,"CF PORTION NOT BILLED, SIG CHG BUT OLD RX NEVER BILLED FOR CF."
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF"
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF"
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF"
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF"
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF"
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF"
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF"
Data Entry,Billing Error,"CF NOT BILLED, SAYS SIG CHG BUT OLD RX NEVER BILLED FOR CF"
Data Entry,Billing Error,"CF PORTION NOT BILLED, NO DOC MADE TO BILL CF"
Data Entry,Billing Error,"STATES SIG CHG, BUT OLD RX WAS NEVER BILLED FOR CF, THIS RX WAS NOT BILLED EITHER"
Data Entry,Billing Error,"MED WAS DECREASED. OLD CLAIM R & V FOR CF, NEW CLAIM NOT BILLED FOR CF"
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE SCREEN FOR UHC PLAN AHCCCS (AS SECONDARY) WERE NOT SET UP CORRECTLY.
Data Entry,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  MERCY CARE AHCCCS PAYS.
Data Entry,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PATIENT.  MERCY CARE AHCCCS PAYS.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE SCREENS FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY.
Data Entry,Billing Error,lf 02/24
Billing,Billing Error,TER GETS P5 PRICING FOR OTC'S.  (OTC WAS BILLED AS EXTENDED CARE).
Pharmacist,Document Error,NOT SENT TO ER
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS WAS NOT SET UP CORRECTLY.
Data Entry Misc,Document Error,"ATCF NOT SENT TO ER, CLAIM REJECTED"
Pharmacist,Document Error,"DOC NOT SENT TO ER, CLAIMS REJECTED"
Data Entry,Billing Error,"CLAIM REJECTED FOR RX 08231256 IN WORKFLOW, ER DOC MARKED COMPLETE
"
Data Entry,Billing Error,CLAIM NOT VOIDED
Billing,Matrix Error,THE BILLING MATRIX FOR UHC PLAN AHCCCS AS SECONDARY WAS NOT SET UP CORRECTLY.  IT IS SUPPOSED TO BE ON A LINE OF ITS OWN.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Pharmacist,Other,"dispill dup med, in dispill and hand filled"
Pharmacist,Other,dispill filled meds in wrong time slot
Data Entry,New Admit Process,THE BILLING MATRIX WAS NOT SET UP CORRECTLY FOR UHC PLAN AHCCCS AS SECONDARY
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.  IT SHOULD BE SET UP THE WAY WE WOULD A UNIVERSITY FAMILY CARE (AS SECONDARY) PATIENT.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Billing,Matrix Error,THE BILLING MATRIX AND INSURANCE PROFILE FOR UHC PLAN AHCCCS (AS SECONDARY) WAS NOT SET UP CORRECTLY.
Billing,Billing Error,"MEDICATION BILLED TO EXTENDED CARE, INCORRECT CHARGE ACCOUNT AND NOT SUPPOSED TO CASH OUT MEDS FOR AHCCCS PTS"
Pharmacist,Document Error,READMIT NOT SENT TO ER
Data Entry,Other,"STOP PUTTING ""S"" AFTER PT NAMES"
Data Entry,Billing Error,TECH BILLED MEDICATION AS CASH TO SDSA CHARGE ACCOUNT WHEN THEY CORRECT HOME IS SGDA
Data Entry,Billing Error,OTC WAS CASHED OUT FOR AN AHCCCS PT.  MERCY CARE PAYS FOR THIS.
